Vrsta;Višina (bc);Teža (t oz);Tip;Hitrost;gibalna količina
Bulbasaur;83;222;Običajen;85;589,7
Venusaur;236;3215;Leteč;123;12357,7
Charmander;71;273;Običajen;85;725,2
Charizard;201;2910;Običajen;85;7729,7
Squirtle;59;289;Leteč;123;1110,8
Blastoise;189;2749;Običajen;85;7302
Butterfree;130;1029;Običajen;85;2733,3
Pidgey;35;58;Običajen;55;99,7
Pidgeot;177;1270;Običajen;55;2182,8
Pikachu;47;193;Običajen;55;331,7
Sandslash;118;948;Ognjen;100;2962,5
Nidoking;165;1993;Običajen;55;3425,5
Clefable;154;1286;Običajen;85;3415,9
Ninetales;130;640;Običajen;55;1100
Golbat;189;1768;Jasnoviden;110;6077,5
Dugtrio;83;1071;Običajen;85;2844,8
Meowth;47;135;Običajen;55;232
Machamp;189;4180;Običajen;55;7184,4
Golem;165;9645;Jasnoviden;110;33154,7
Rapidash;201;3054;Ognjen;100;9543,8
Magneton;118;1929;Običajen;55;3315,5
Gengar;177;1302;Jasnoviden;110;4475,6
Onix;1039;6752;Običajen;55;11605
Rhydon;224;3858;Ognjen;100;12056,3
Gyarados;768;7555;Jasnoviden;110;25970,3
Ditto;35;129;Običajen;85;342,7
Eevee;35;209;Običajen;85;555,2
Vaporeon;118;932;Leteč;123;3582,4
Jolteon;94;788;Jasnoviden;110;2708,8
Flareon;106;804;Jasnoviden;110;2763,8
Snorlax;248;14789;Leteč;123;56845,2
Dragonite;260;6752;Običajen;85;17935
;;;MAX;123;
